Номер,Год,Страна,Тип технологии,Компания или оператор,Суть и название проекта,Источник
1,2025,Таиланд,Облачные технологии и ЦОД,Alibaba Cloud,Запуск второго центра обработки данных (ЦОД) в Таиланде для облачных вычислений и решений генеративного ИИ.,"[22, 33]"
2,2022,Индонезия,Электронная коммерция и Финтех,"Lazada Group (Alibaba), Sinar Mas, Dana",Инвестиции в размере $250 млн в индонезийский электронный кошелек Dana для инвестиций в новые технологии и финансовые сервисы.,[23]
3,2026 (план),АСЕАН (в целом),Искусственный интеллект,"Xiaomi, МИД КНР",Проведение диалога с послами стран АСЕАН в штаб-квартире Xiaomi для обсуждения внедрения ИИ и зеленых технологий в рамках Плана действий Китай-АСЕАН.,[24]
4,2023,Лаос,Электронное управление и Инфраструктура,CRRC,Запуск международных пассажирских поездов Fuxing CR200J и «Ланцан» на Китайско-Лаосской железной дороге.,[25]
5,2025,Вьетнам,5G и Телекоммуникации,"Huawei, ZTE, Viettel, VNPT, Mobifone",Развертывание 5G-оборудования и базовых станций во Вьетнаме вьетнамскими операторами (контракты на сумму свыше $40 млн).,"[28, 67]"
6,2025,Сингапур,Искусственный интеллект,"Huawei Cloud, YITU Technology",Запуск альянса Huawei Cloud Singapore AI Pioneer Partner Ecosystem Alliance для развития ИИ-инноваций в индустриях Сингапура.,[29]
7,2023,Таиланд,Электронная коммерция и Финтех,"Ant Group (Alipay+), Ascend Money (TrueMoney)",Интеграция тайского кошелька TrueMoney в экосистему Alipay+ для приёма трансграничных платежей в Китае.,[30]
8,2024,Индонезия,Облачные технологии и ЦОД,"Alibaba Cloud, GoTo Group",Пятилетнее стратегическое партнерство по цифровой трансформации и миграции экосистемы GoTo на инфраструктуру Alibaba Cloud в Индонезии.,[31]
9,2025,Сингапур,Искусственный интеллект,Alibaba Cloud,Открытие первого глобального центра компетенций ИИ (AI Global Competency Center) в Сингапуре для поддержки разработчиков и бизнеса.,"[32, 35, 48]"
10,2024-2025,"Малайзия, Филиппины",Облачные технологии и ЦОД,Alibaba Cloud,Строительство и запуск новых центров обработки данных (ЦОД) в Малайзии и на Филиппинах.,"[32, 34, 48, 60]"
11,2015,Сингапур,Облачные технологии и ЦОД,Alibaba Cloud,Основание штаб-квартиры и открытие первого облачного дата-центра Alibaba Cloud в Сингапуре.,[36]
12,2025,"Сингапур, Малайзия, Камбоджа, Таиланд",Электронная коммерция и Финтех,"Ant International (Alipay+), KBank, Grab, Trip.com","Масштабирование экосистемы Alipay+ и запуск ИИ-сервисов для трансграничных мобильных платежей в Сингапуре, Малайзии, Камбодже и Таиланде.",[37]
13,Нет данных,АСЕАН (в целом),Инфраструктура,"Huawei, ZTE, Alibaba, Tencent",Развитие и финансирование инфраструктурных проектов Цифрового Шелкового пути (обзорное упоминание e-commerce и инфраструктуры в регионе).,[38]
14,2025,"Филиппины, Таиланд",5G и Телекоммуникации,Huawei,"Внедрение и сохранение 5G-оборудования компании Huawei в инфраструктурах связи развивающихся стран, в том числе на Филиппинах и в Таиланде.",[39]
